                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0675,                0.70045,                 1.0746,                0.94644,                 0.8972,                0.96275,                0.72264,                0.90114,                0.59916,                 1.0047,              0.0019129,              0.0019129,              0.0019129
                     47,                 1.0834,                0.71771,                  1.074,                0.94384,                0.89754,                 0.9609,                0.70281,                0.91221,                0.57189,                 1.0116,              0.0019109,              0.0019109,              0.0019109
                     48,                  1.048,                  0.682,                 1.0916,                0.92497,                0.91188,                 0.9604,                 0.7109,                0.90731,                0.58296,                 1.0166,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.0469,                0.67542,                 1.0597,                0.93333,                0.88518,                0.94793,                0.70336,                0.91624,                0.68261,                 1.0085,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.0487,                0.67515,                 1.0894,                0.93512,                0.88785,                0.95104,                0.70902,                0.92641,                0.63386,                 1.0212,               0.001905,               0.001905,               0.001905
                     51,                 1.0762,                0.67976,                 1.0776,                0.94368,                0.89479,                0.95922,                0.70331,                 0.9347,                0.59715,                 1.0247,               0.001903,               0.001903,               0.001903
                     52,                 1.0357,                0.67346,                 1.0547,                0.93446,                0.89474,                0.95062,                0.72191,                0.88082,                0.56567,                0.99061,               0.001901,               0.001901,               0.001901
                     53,                 1.0101,                0.65756,                 1.0567,                0.93999,                0.90788,                0.96111,                0.71064,                0.90361,                0.56682,                 1.0051,               0.001899,               0.001899,               0.001899
                     54,                 1.0346,                0.66591,                 1.0686,                0.94233,                0.91188,                 0.9601,                0.71855,                0.90026,                0.56661,                 1.0089,               0.001897,               0.001897,               0.001897
                     55,                 1.0297,                0.66649,                 1.0777,                0.95994,                0.92789,                0.97357,                0.73015,                0.86691,                0.53269,                0.99908,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.0881,                0.69796,                 1.0928,                0.94692,                0.93057,                0.96563,                0.73342,                 0.8866,                0.54334,                 1.0048,              0.0018931,              0.0018931,              0.0018931
                     57,                 1.0196,                0.63447,                 1.0693,                0.94814,                0.92752,                0.96779,                0.73163,                0.88095,                0.53628,                 1.0006,              0.0018911,              0.0018911,              0.0018911
                     58,                 1.0074,                0.64799,                 1.0724,                0.92264,                0.91856,                0.95602,                0.72513,                0.85544,                0.54017,                 1.0063,              0.0018891,              0.0018891,              0.0018891
                     59,                 1.0399,                0.66139,                 1.0816,                  0.958,                0.92123,                0.96838,                0.73745,                0.85415,                0.52239,                0.99095,              0.0018871,              0.0018871,              0.0018871
                     60,                 1.0472,                 0.6644,                 1.0702,                0.94359,                0.93324,                 0.9648,                0.73267,                0.84139,                 0.5417,                0.99143,              0.0018852,              0.0018852,              0.0018852
                     61,                 1.0132,                0.66394,                 1.0538,                0.95303,                0.92256,                 0.9676,                0.73507,                0.87012,                0.53857,                0.99434,              0.0018832,              0.0018832,              0.0018832
                     62,                 1.0597,                0.67225,                 1.1061,                0.94178,                0.92863,                0.96679,                0.73631,                0.82767,                0.54984,                0.97668,              0.0018812,              0.0018812,              0.0018812
                     63,                  1.014,                0.63944,                 1.0536,                0.95646,                0.93854,                0.97515,                  0.745,                0.82579,                0.50872,                0.97251,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.0258,                0.72972,                 1.0816,                0.94485,                0.91498,                0.96825,                0.73916,                0.84857,                0.54568,                0.97366,              0.0018772,              0.0018772,              0.0018772
                     65,                 0.9814,                0.62342,                 1.0372,                0.95526,                0.91322,                0.96584,                0.73499,                0.86142,                0.53215,                0.98698,              0.0018753,              0.0018753,              0.0018753
                     66,                0.94042,                0.59328,                 1.0348,                0.95697,                0.95018,                0.97634,                0.75224,                0.83518,                 0.5143,                0.97225,              0.0018733,              0.0018733,              0.0018733
                     67,                0.99113,                0.62858,                 1.0466,                0.96654,                0.92561,                0.97546,                0.75779,                0.81162,                0.50696,                0.96644,              0.0018713,              0.0018713,              0.0018713
                     68,                0.96727,                0.60664,                 1.0518,                 0.9655,                0.93411,                0.97922,                0.75009,                0.83572,                0.51509,                 0.9786,              0.0018693,              0.0018693,              0.0018693
                     69,                 1.0432,                0.64526,                  1.098,                 0.9266,                0.93858,                0.97032,                0.74003,                0.83059,                0.52476,                0.98148,              0.0018673,              0.0018673,              0.0018673
                     70,                 0.9806,                0.62154,                 1.0512,                0.95384,                0.89987,                0.95648,                0.73028,                0.85302,                0.62932,                0.98558,              0.0018654,              0.0018654,              0.0018654
                     71,                0.96376,                0.60536,                 1.0436,                0.96693,                0.93693,                0.97611,                0.75142,                0.81878,                 0.5044,                0.96893,              0.0018634,              0.0018634,              0.0018634
                     72,                0.95061,                 0.6139,                  1.032,                0.96255,                0.93591,                0.97477,                0.75601,                0.80726,                 0.4998,                0.96837,              0.0018614,              0.0018614,              0.0018614
                     73,                0.99783,                0.61859,                 1.0513,                0.94768,                  0.919,                0.96761,                0.72736,                0.86148,                0.52711,                0.98481,              0.0018594,              0.0018594,              0.0018594
                     74,                 1.0789,                0.63283,                  1.134,                0.96827,                0.93057,                0.97353,                0.74879,                0.82021,                0.50802,                0.96792,              0.0018574,              0.0018574,              0.0018574
                     75,                  0.928,                0.60234,                 1.0035,                0.96974,                0.93458,                0.97541,                0.74872,                0.84923,                0.55665,                 0.9752,              0.0018555,              0.0018555,              0.0018555
                     76,                 1.0074,                0.60092,                 1.0508,                0.96474,                0.94984,                0.97993,                0.76537,                0.81997,                0.49207,                0.96278,              0.0018535,              0.0018535,              0.0018535
                     77,                 1.0107,                0.59863,                 1.0577,                0.96781,                0.94393,                0.97908,                0.76337,                0.79632,                0.49477,                0.95659,              0.0018515,              0.0018515,              0.0018515
                     78,                0.99537,                0.61042,                 1.0606,                0.96263,                0.91989,                0.97181,                 0.7449,                0.83125,                0.51413,                0.97063,              0.0018495,              0.0018495,              0.0018495
                     79,                0.94211,                0.60959,                 1.0208,                0.95593,                0.93591,                0.97509,                 0.7573,                0.78124,                0.49184,                0.95273,              0.0018475,              0.0018475,              0.0018475
                     80,                0.91781,                0.57827,                 1.0116,                0.94992,                 0.9466,                0.97417,                0.76274,                0.79464,                0.48687,                0.95808,              0.0018456,              0.0018456,              0.0018456
                     81,                0.92631,                0.58913,                 1.0247,                0.96818,                0.93438,                0.97831,                0.76779,                0.78608,                0.49382,                0.96492,              0.0018436,              0.0018436,              0.0018436
                     82,                0.96429,                0.61453,                 1.0431,                0.93609,                0.94793,                0.97428,                0.74843,                0.81208,                0.52396,                0.96373,              0.0018416,              0.0018416,              0.0018416
                     83,                0.93462,                0.56855,                 1.0239,                0.97297,                0.93992,                0.98035,                0.76163,                0.80258,                 0.4929,                0.96252,              0.0018396,              0.0018396,              0.0018396
                     84,                0.93452,                0.60171,                 1.0314,                0.97652,                0.94385,                0.98089,                0.77448,                 0.7972,                0.47441,                0.94862,              0.0018376,              0.0018376,              0.0018376
                     85,                0.94216,                0.58319,                  1.005,                0.96886,                0.94927,                0.97975,                0.76589,                0.80791,                  0.487,                0.95686,              0.0018357,              0.0018357,              0.0018357
                     86,                0.94023,                0.58329,                 1.0195,                0.97011,                0.95316,                0.98113,                0.78361,                0.78664,                0.46962,                0.94403,              0.0018337,              0.0018337,              0.0018337
                     87,                0.92267,                0.57455,                 1.0361,                0.96685,                0.94259,                0.97928,                0.77533,                0.77772,                0.48064,                0.94579,              0.0018317,              0.0018317,              0.0018317
                     88,                0.94127,                0.58916,                  1.019,                0.96147,                0.93858,                0.97466,                0.77596,                0.75826,                0.48192,                0.93244,              0.0018297,              0.0018297,              0.0018297
                     89,                 0.9451,                0.59803,                 1.0141,                0.96864,                 0.9484,                0.97874,                0.77134,                0.79501,                0.46949,                 0.9463,              0.0018277,              0.0018277,              0.0018277
                     90,                0.97136,                0.60111,                  1.027,                0.97184,                0.94793,                0.98246,                0.77097,                0.77553,                0.47679,                 0.9457,              0.0018258,              0.0018258,              0.0018258
                     91,                0.87374,                0.56774,                0.99905,                0.95795,                0.94279,                0.97925,                0.76978,                0.79148,                 0.4927,                0.94399,              0.0018238,              0.0018238,              0.0018238
                     92,                0.95633,                 0.5983,                 1.0391,                0.96481,                0.95163,                0.98398,                0.77129,                0.77916,                0.47581,                0.94026,              0.0018218,              0.0018218,              0.0018218
                     93,                  0.903,                0.54947,                 1.0036,                0.97307,                0.95461,                0.98354,                0.78657,                0.74504,                0.45608,                0.93231,              0.0018198,              0.0018198,              0.0018198
                     94,                0.91444,                0.56442,                 1.0194,                0.96992,                0.93458,                0.98151,                0.77644,                0.80195,                0.46416,                0.94972,              0.0018178,              0.0018178,              0.0018178
                     95,                0.95112,                0.59585,                 1.0108,                 0.9622,                0.95151,                0.98517,                0.77333,                  0.791,                0.46952,                0.95455,              0.0018159,              0.0018159,              0.0018159
                     96,                0.90314,                0.56862,                 1.0106,                0.97235,                0.93897,                 0.9791,                0.77457,                0.81015,                0.45696,                0.95777,              0.0018139,              0.0018139,              0.0018139
                     97,                0.91181,                 0.5487,                 1.0157,                0.97837,                0.94393,                0.98015,                0.78264,                0.77148,                0.45208,                0.94031,              0.0018119,              0.0018119,              0.0018119
                     98,                 0.9278,                0.57907,                 1.0064,                0.95696,                0.94987,                 0.9839,                0.78271,                0.75343,                0.45135,                0.93721,              0.0018099,              0.0018099,              0.0018099
                     99,                0.87604,                0.54263,                0.97455,                0.95788,                 0.9413,                0.97945,                0.78052,                 0.7382,                0.43892,                0.93189,              0.0018079,              0.0018079,              0.0018079
                    100,                0.92017,                0.57803,                 1.0129,                0.97758,                0.93153,                0.98369,                0.78604,                0.76632,                0.44854,                0.93825,               0.001806,               0.001806,               0.001806
                    101,                0.91298,                0.55877,                 1.0033,                0.96807,                0.94793,                0.98036,                0.77455,                0.79888,                0.46264,                0.94942,               0.001804,               0.001804,               0.001804
